"N","bm2m1","by2y1","br","Orig Chi-p < 0.05","Adj Chi-p < 0.05","One-step Chi-p < 0.05","Orig Avg RMSEA","Adj Avg RMSEA","One-step Avg RMSEA"
500,1,1,0.14,0.009,0.055,0.052,0.00417511693535225,0.0154228259836334,0.014745723142287
50,0,0,0.25,0.013,0.063,0.053,0.0159313783762266,0.0581242404682957,0.0508137902146315
100,0,0,0.25,0.021,0.095,0.081,0.0129225746454704,0.0406138653745864,0.0365803149732998
200,0,0,0.25,0.015,0.058,0.05,0.00748044585617537,0.0271969592518616,0.0248924907231381
500,0,0,0.25,0.011,0.056,0.047,0.00445897248810687,0.0165244701340006,0.0150456760427159
50,0.3,0,0.25,0.021,0.093,0.076,0.018934339494777,0.0606245406079627,0.054026942606984
100,0.3,0,0.25,0.014,0.064,0.059,0.0110951952370985,0.038343305356302,0.0344913254862575
200,0.3,0,0.25,0.012,0.055,0.048,0.00678796268151785,0.0268105382735888,0.0239991661907714
500,0.3,0,0.25,0.01,0.055,0.049,0.00408025021802912,0.0151359313421711,0.0135653793109038
50,0.7,0,0.25,0.023,0.078,0.061,0.0184118223871677,0.0617337906669906,0.0546301151093831
100,0.7,0,0.25,0.013,0.065,0.053,0.0103039992575463,0.0378872094121788,0.033894196734756
200,0.7,0,0.25,0.012,0.071,0.06,0.00833938355617763,0.0292854411286954,0.0263921511294166
500,0.7,0,0.25,0.015,0.053,0.049,0.00432055666272408,0.0164613677361089,0.0149808138676972
50,1,0,0.25,0.017,0.068,0.06,0.0163614183225491,0.0565828801271103,0.0499096496956551
100,1,0,0.25,0.015,0.07,0.059,0.0110271678307596,0.0390160716240907,0.0349587990491093
200,1,0,0.25,0.012,0.064,0.052,0.00741515999264469,0.0278222969408046,0.0251407848304643
500,1,0,0.25,0.017,0.064,0.054,0.00462167370187143,0.015898812188311,0.0145857974425142
50,0,0.3,0.25,0.026,0.089,0.076,0.0204840513200552,0.0636643790939105,0.0565990903682283
100,0,0.3,0.25,0.014,0.069,0.056,0.0112084964501574,0.0392626084365673,0.0349176271999487
200,0,0.3,0.25,0.011,0.064,0.054,0.00756054510472756,0.0272029006934476,0.0245838513107146
500,0,0.3,0.25,0.012,0.08,0.072,0.00547699751461963,0.018323362105407,0.0167370839575811
50,0.3,0.3,0.25,0.025,0.091,0.073,0.0206848177912585,0.0657338788471432,0.0583387088503006
100,0.3,0.3,0.25,0.01,0.062,0.048,0.0104264307917075,0.0377236773153408,0.0337097645623291
200,0.3,0.3,0.25,0.018,0.076,0.064,0.00847640760292109,0.0282115610508723,0.0256777660990649
500,0.3,0.3,0.25,0.014,0.059,0.05,0.00455827018831512,0.0159671056407046,0.0145984212812722
50,0.7,0.3,0.25,0.019,0.084,0.067,0.0191649240343566,0.0610940374723718,0.0539250775536179
100,0.7,0.3,0.25,0.015,0.079,0.067,0.0122206557990931,0.0408079714058774,0.0365112481063996
200,0.7,0.3,0.25,0.013,0.064,0.053,0.00736061680085247,0.0261445137260248,0.0235381957037169
500,0.7,0.3,0.25,0.005,0.05,0.045,0.00404415865004345,0.0157355563163459,0.0141378975148752
50,1,0.3,0.25,0.022,0.095,0.076,0.019823748260356,0.0638826492985033,0.0561659335794776
100,1,0.3,0.25,0.016,0.066,0.055,0.0109696288326226,0.0389907305760361,0.0350920829007208
200,1,0.3,0.25,0.01,0.074,0.063,0.00737411456472549,0.0261524165510296,0.0236009380539708
500,1,0.3,0.25,0.014,0.055,0.05,0.00448771804365652,0.0160838699668211,0.014512947543669
50,0,0.7,0.25,0.012,0.062,0.045,0.0157305597138824,0.0557866216124891,0.048810405437169
100,0,0.7,0.25,0.016,0.069,0.056,0.0127057341139109,0.0421402649455298,0.0381105011023592
200,0,0.7,0.25,0.016,0.059,0.048,0.00699775672575755,0.0266585801224599,0.0242409297289078
500,0,0.7,0.25,0.011,0.055,0.04,0.00400117862328403,0.0151854642319314,0.0137793214943806
50,0.3,0.7,0.25,0.013,0.071,0.059,0.0169464951184644,0.0584056018960285,0.051661114790131
100,0.3,0.7,0.25,0.009,0.056,0.049,0.00967678916593236,0.0356331312310376,0.0319833116901352
200,0.3,0.7,0.25,0.015,0.054,0.049,0.00729872591955957,0.0257857450513488,0.0233846770151218
500,0.3,0.7,0.25,0.011,0.065,0.05,0.00448813466196986,0.0153841207367513,0.0140404649422776
50,0.7,0.7,0.25,0.017,0.084,0.07,0.0195229755604991,0.0615702567797401,0.0542829533921092
100,0.7,0.7,0.25,0.017,0.073,0.064,0.0113802363902321,0.0395760291373107,0.0351397604121737
200,0.7,0.7,0.25,0.016,0.063,0.052,0.00713076348302378,0.0263093918111024,0.0237625268277503
500,0.7,0.7,0.25,0.012,0.059,0.049,0.0044936850139322,0.0162906209677759,0.0146952213720343
50,1,0.7,0.25,0.022,0.09,0.077,0.0201650319545995,0.0661478007238046,0.0583031063089067
100,1,0.7,0.25,0.019,0.073,0.061,0.0115423820234561,0.0383763907825305,0.0347671101794081
200,1,0.7,0.25,0.007,0.061,0.053,0.00711497912872751,0.0258165785053927,0.0230844164523403
500,1,0.7,0.25,0.009,0.055,0.047,0.00422594636282363,0.0157243730833941,0.0143008010430657
50,0,1,0.25,0.017,0.069,0.053,0.0163140962639247,0.0577196011994173,0.0507777942056625
100,0,1,0.25,0.015,0.067,0.053,0.010625019677421,0.0367060227608784,0.0330518926220681
200,0,1,0.25,0.012,0.059,0.051,0.00684112461364875,0.0252011701250391,0.0228256973448534
500,0,1,0.25,0.01,0.057,0.043,0.00409157458890769,0.0156632187741511,0.014305644158346
50,0.3,1,0.25,0.016,0.082,0.072,0.0178351267641942,0.0580635722644115,0.051725060680879
100,0.3,1,0.25,0.014,0.066,0.051,0.010552899113721,0.0379663298045944,0.0333455203007135
200,0.3,1,0.25,0.011,0.055,0.042,0.0072416372921274,0.0263556092611738,0.0238938130855927
500,0.3,1,0.25,0.015,0.06,0.048,0.00476178840315315,0.0168084914423845,0.0152645101291727
50,0.7,1,0.25,0.016,0.079,0.064,0.0186658383769421,0.0641204231028803,0.0563064550452715
100,0.7,1,0.25,0.016,0.075,0.064,0.0111028737166545,0.039918741344828,0.0354803672485444
200,0.7,1,0.25,0.012,0.066,0.061,0.00740884148126664,0.0266532480760316,0.024217300084305
500,0.7,1,0.25,0.007,0.065,0.056,0.00442359622484369,0.0161620993482992,0.0147766462108201
50,1,1,0.25,0.018,0.073,0.059,0.0174160903178331,0.060799686165,0.0527264191022687
100,1,1,0.25,0.014,0.06,0.049,0.00997076233758581,0.0375447454779348,0.0339483744985301
200,1,1,0.25,0.013,0.059,0.051,0.00753411680413427,0.0272895005864039,0.0246985690869434
500,1,1,0.25,0.014,0.052,0.038,0.00434396993307301,0.0162847578383841,0.0149028591202288
50,0,0,0.39,0.022,0.098,0.071,0.0214749172788248,0.0674323309185052,0.0544884037275437
100,0,0,0.39,0.023,0.09,0.061,0.0138513559107897,0.0433149141834525,0.0362106807331153
200,0,0,0.39,0.015,0.076,0.059,0.00801926073050895,0.0271785692292774,0.0225946753489807
500,0,0,0.39,0.013,0.062,0.036,0.0044867679127362,0.0164738319147372,0.0136417799554884
50,0.3,0,0.39,0.023,0.084,0.053,0.0181842573035689,0.0613277503451091,0.0490354930901586
100,0.3,0,0.39,0.027,0.086,0.064,0.0134739024885175,0.0446164729576349,0.0370910426834666
200,0.3,0,0.39,0.012,0.077,0.049,0.00820652433705396,0.0275243175235906,0.0225318265988023
500,0.3,0,0.39,0.014,0.08,0.055,0.00538252814421122,0.0178861388845008,0.0148841830481819
50,0.7,0,0.39,0.027,0.097,0.078,0.0213597089025286,0.0661549193702222,0.0553314195475673
100,0.7,0,0.39,0.02,0.085,0.069,0.0131884282438431,0.0433055929590367,0.0356651193843357
200,0.7,0,0.39,0.025,0.084,0.062,0.00926705690875874,0.0304006340885639,0.0254270662266388
500,0.7,0,0.39,0.015,0.075,0.047,0.00541330314908159,0.0179020466918246,0.0148359342937955
50,1,0,0.39,0.019,0.089,0.067,0.0193451215027194,0.0621721808547515,0.0501981483730297
100,1,0,0.39,0.019,0.067,0.042,0.0112211583244937,0.040077438865112,0.0324489296669373
200,1,0,0.39,0.012,0.078,0.054,0.00822175514166427,0.0286339213149843,0.0237433648466706
500,1,0,0.39,0.02,0.066,0.054,0.00495627276593646,0.0171376470494109,0.0142646269663766
50,0,0.3,0.39,0.014,0.074,0.053,0.0186596263130866,0.0626714628628229,0.0513618768190712
100,0,0.3,0.39,0.018,0.063,0.046,0.0113798213301328,0.0418219872351504,0.0340351012166891
200,0,0.3,0.39,0.009,0.075,0.055,0.0083199632547936,0.0288904016983629,0.0239294607152459
500,0,0.3,0.39,0.011,0.07,0.052,0.00494695488948461,0.0173234010184419,0.0142826516741917
50,0.3,0.3,0.39,0.023,0.072,0.056,0.0176129459090093,0.0603399343848518,0.0495313219491431
100,0.3,0.3,0.39,0.014,0.068,0.045,0.0114721483225123,0.040000177955119,0.0327276121778119
200,0.3,0.3,0.39,0.013,0.066,0.051,0.00800976133528399,0.0279854279613946,0.0230617668551306
500,0.3,0.3,0.39,0.016,0.084,0.063,0.00569201348233891,0.018354565156776,0.0152192484886748
50,0.7,0.3,0.39,0.016,0.091,0.055,0.0203032223943926,0.065635849703987,0.0531708790508635
100,0.7,0.3,0.39,0.025,0.096,0.07,0.0149813456863108,0.0448240464248403,0.0375864687451444
200,0.7,0.3,0.39,0.02,0.079,0.058,0.00918502081568434,0.0311959007716161,0.026242294599485
500,0.7,0.3,0.39,0.013,0.073,0.048,0.00533073505073025,0.0181634660428784,0.015132497234274
50,1,0.3,0.39,0.031,0.105,0.079,0.0218343087139419,0.0653524990057158,0.0540264592667697
100,1,0.3,0.39,0.026,0.094,0.065,0.0145828675591461,0.0468341120927843,0.0392119465593482
200,1,0.3,0.39,0.017,0.068,0.051,0.0082306018369779,0.0294056692169786,0.0240966747425255
500,1,0.3,0.39,0.015,0.064,0.049,0.00502786822760783,0.0179419235083791,0.0151340287574456
50,0,0.7,0.39,0.026,0.105,0.073,0.0213908650227831,0.0653995503871511,0.0532316872022152
100,0,0.7,0.39,0.016,0.07,0.051,0.0120579648609338,0.0409359126488561,0.0333269054180815
200,0,0.7,0.39,0.016,0.066,0.046,0.00802453868255107,0.0287841232395608,0.0236243796197348
500,0,0.7,0.39,0.019,0.069,0.052,0.00547414576469243,0.0193976111657627,0.0161853050977605
50,0.3,0.7,0.39,0.02,0.103,0.073,0.0216031584219155,0.0672053333063812,0.0552331843112009
100,0.3,0.7,0.39,0.013,0.079,0.052,0.0126471966748545,0.0417062715883756,0.0341363566152131
200,0.3,0.7,0.39,0.019,0.077,0.061,0.00885540736913329,0.0292063570730792,0.0243399262214754
500,0.3,0.7,0.39,0.017,0.071,0.046,0.00511509857052739,0.0175234983044133,0.0146323666590577
50,0.7,0.7,0.39,0.025,0.085,0.06,0.0206459487305447,0.0674797804288597,0.05429928289222
100,0.7,0.7,0.39,0.017,0.068,0.047,0.0110137399017915,0.0378053211873492,0.0307438492183103
200,0.7,0.7,0.39,0.015,0.08,0.054,0.00892164313020093,0.0294541448374658,0.0245513540063208
500,0.7,0.7,0.39,0.022,0.086,0.066,0.00597430132566834,0.018688575834175,0.0155751782731659
50,1,0.7,0.39,0.017,0.084,0.056,0.0177334212239437,0.0601877523404694,0.0481755247226051
100,1,0.7,0.39,0.019,0.086,0.064,0.0132946474863981,0.0445792454041623,0.0364404623161514
200,1,0.7,0.39,0.013,0.062,0.046,0.00762135086765523,0.0275697817146065,0.0228797884552667
500,1,0.7,0.39,0.018,0.086,0.061,0.00564982474479319,0.0191014914694266,0.0159283184590806
50,0,1,0.39,0.021,0.086,0.064,0.0192532768715326,0.0623395658549756,0.0495686942152887
100,0,1,0.39,0.023,0.082,0.064,0.0131695973149037,0.0424569058864679,0.0351985347423526
200,0,1,0.39,0.019,0.08,0.056,0.00904948271451794,0.0285288181783635,0.0237658177831652
500,0,1,0.39,0.018,0.07,0.051,0.00488997287945828,0.016688498899104,0.0139367787636215
50,0.3,1,0.39,0.018,0.091,0.054,0.0184171402771997,0.0623972961448283,0.050190716024308
100,0.3,1,0.39,0.01,0.073,0.055,0.0107396266357789,0.0374622889107054,0.030595656098337
200,0.3,1,0.39,0.016,0.088,0.064,0.00952315381945893,0.0300463924798385,0.0250317869558641
500,0.3,1,0.39,0.01,0.06,0.041,0.0044283135634604,0.0172663164967424,0.0142540447866801
50,0.7,1,0.39,0.023,0.092,0.074,0.0209327866063426,0.0651901662877098,0.0531636306017319
100,0.7,1,0.39,0.02,0.094,0.058,0.0139817859617246,0.0435126602382531,0.0357830989349446
200,0.7,1,0.39,0.015,0.075,0.053,0.00910391757358844,0.0300013337562367,0.0248941601702114
500,0.7,1,0.39,0.013,0.074,0.053,0.0051956721660095,0.0176110954806325,0.0145002950346899
50,1,1,0.39,0.029,0.102,0.076,0.0209410022059553,0.0648205357045452,0.0529380297152714
100,1,1,0.39,0.018,0.084,0.056,0.0128729116954946,0.0412790131743999,0.0341411613104001
200,1,1,0.39,0.02,0.075,0.053,0.00875241323465124,0.0289078734684818,0.0235180290491227
500,1,1,0.39,0.014,0.069,0.056,0.00494836827006055,0.0173684730906685,0.0144644745588856
50,0,0,0.59,0.025,0.114,0.059,0.0246879845517499,0.072224224461288,0.0513907196168068
100,0,0,0.59,0.024,0.101,0.057,0.0155948780167158,0.0491068748002439,0.0348845330506165
200,0,0,0.59,0.033,0.107,0.057,0.0116843765334543,0.0361483808994832,0.0255828084177195
500,0,0,0.59,0.023,0.09,0.045,0.0064571232674598,0.0202173722694434,0.0141846383032474
50,0.3,0,0.59,0.038,0.119,0.058,0.026092592698713,0.0772665002962739,0.0541346883733685
100,0.3,0,0.59,0.038,0.12,0.069,0.0179220651992031,0.0536486398191228,0.0380199530777913
200,0.3,0,0.59,0.024,0.106,0.063,0.0115736884417687,0.0346640472254669,0.024660997413161
500,0.3,0,0.59,0.028,0.087,0.049,0.00593853654537254,0.0194593639406749,0.0134278431985902
50,0.7,0,0.59,0.029,0.122,0.062,0.0251895921340823,0.0740237000273992,0.0527445111751696
100,0.7,0,0.59,0.033,0.117,0.069,0.0179315733719138,0.0518727059290246,0.037590167329827
200,0.7,0,0.59,0.022,0.085,0.04,0.00974163716092998,0.0316679287661317,0.0220899403219784
500,0.7,0,0.59,0.018,0.084,0.041,0.00631600172387013,0.0202519083392323,0.0143779595420104
50,1,0,0.59,0.033,0.109,0.057,0.024866493782217,0.0747746309681866,0.0520116206228059
100,1,0,0.59,0.023,0.111,0.054,0.0165589884658622,0.0502412560931815,0.036245846006199
200,1,0,0.59,0.032,0.105,0.059,0.0115673301228574,0.0347962479244155,0.0243645337338528
500,1,0,0.59,0.021,0.088,0.043,0.00621195519472639,0.0201912937700361,0.0140787554832785
50,0,0.3,0.59,0.042,0.116,0.064,0.0257244271293301,0.0741657893576592,0.0522259879118703
100,0,0.3,0.59,0.028,0.128,0.055,0.0182480165205517,0.0532758671905591,0.0379930948868115
200,0,0.3,0.59,0.029,0.111,0.054,0.0117549374141172,0.034685319545429,0.0245887790969873
